type:,Year,transmission:,odometer:,Model,VIN:,fuel:,drive:,Price,title status:,cylinders:,paint color:,condition:
SUV,2013,automatic,156000," toyota highlander
",,gas,fwd,9800,clean,4 cylinders,silver,good
hatchback,2011,automatic,191000," Toyota Matt
",,gas,fwd,4800,clean,4 cylinders,silver,like new
SUV,2015,automatic,104000," bmw x1 xdrive35i
",,gas,,7950,clean,,,excellent
sedan,2016,automatic,118600," acura rlx
",,gas,fwd,8600,clean,6 cylinders,black,excellent
pickup,1984,automatic,125000," Chevrolet K10
",,gas,4wd,13500,clean,8 cylinders,brown,good
pickup,2003,automatic,120000," chevy silverado ss
",,gas,,16800,clean,,,
SUV,2014,automatic,185000," X 90 Volvo SUV
",,gas,,4300,clean,,,
,1977,automatic,105335," cadillac eldorado
",,gas,,13,clean,,,
truck,2021,automatic,86000," gmc sierra 1500
",,gas,4wd,28000,clean,,white,excellent
SUV,2022,automatic,9000," Honda Pilot EXL
",5FNYF5H53NB038992,gas,fwd,25999,clean,6 cylinders,black,like new
truck,2014,automatic,139800," chevrolet silverado 1500
",,gas,4wd,12900,clean,8 cylinders,black,good
,2021,automatic,29878," volkswagen jetta
",,gas,fwd,16000,clean,4 cylinders,,like new
SUV,2007,automatic,172610," toyota matrix
",,gas,fwd,2600,salvage,4 cylinders,white,fair
sedan,2020,automatic,30690," Toyota Corolla LE
",5YFEPRAEXLP136646,gas,fwd,19500,clean,4 cylinders,silver,excellent
sedan,2016,automatic,140000," toyota corolla
",,gas,,9100,clean,,black,like new
pickup,1970,automatic,2200," Chevrolet C20
",,gas,rwd,34995,rebuilt,8 cylinders,brown,excellent
SUV,1986,manual,205591," toyota 4runner sr5
",,gas,4wd,9800,clean,4 cylinders,black,good
truck,2004,manual,500000," Mack 2004
",,diesel,,30000,clean,,white,good
offroad,1975,manual,137000," Jeep CJ-5
",,gas,4wd,8700,clean,8 cylinders,custom,good
coupe,2019,automatic,147245," Chevy Camero
",1G1FB1RS6K0103711,gas,rwd,11990,clean,6 cylinders,custom,good
bus,2006,automatic,103000," Ford
",,diesel,,19000,clean,,,
sedan,2012,automatic,190000," toyota camry se
",,gas,,6950,clean,,,
,2014,automatic,221000," ford f550 4x4
",,diesel,,14750,clean,,,
truck,2020,automatic,49250," freightliner mt45g
",,gas,,29950,clean,,,
pickup,2016,automatic,106000," dodge ram 1500 4x4
",,gas,,13850,rebuilt,,,
sedan,2017,automatic,110000," kia optima
",,gas,,7850,clean,,,
pickup,2020,automatic,86952," dodge ram 3500
",,diesel,4wd,49950,rebuilt,6 cylinders,black,like new
SUV,2014,automatic,111000," bmw x1 xdrive35i
",,gas,,8750,clean,,,
sedan,2010,automatic,165000," toyota avalon
",,gas,,7450,clean,,,
pickup,2021,automatic,131000," dodge ram 1500 4x4
",,gas,,16750,clean,,,
SUV,2010,automatic,120000," land rover lr2
",,gas,,8550,clean,,,
SUV,2018,automatic,67000," Toyota Highlander XLE
",,gas,fwd,26000,clean,6 cylinders,white,excellent
SUV,2011,automatic,133000," bmw x6 m
",,gas,,14850,clean,,,
pickup,2024,automatic,22500," Toyota Tacoma
",3TYLB5JN8RT002690,gas,4wd,40000,clean,4 cylinders,grey,excellent
minivan,2007,automatic,114430," Honda Odyssey Touring
",5FNRL388X7B042360,gas,fwd,6875,clean,6 cylinders,white,good
sedan,2011,automatic,140000," bmw 335i
",,gas,,5450,clean,,,
pickup,2019,automatic,141000," gmc sierra 3500hd 4x4
",,gas,,27850,clean,,,
coupe,2015,automatic,106000," bmw 640i gran coupe
",,gas,,15700,clean,,,
pickup,2021,automatic,82000," gmc sierra 2500hd
",,diesel,,37500,clean,,,
bus,2014,automatic,321231," Chevy Express 4500
",,diesel,rwd,5900,clean,8 cylinders,white,excellent
sedan,2009,automatic,133221," jaguar xf
",,gas,rwd,4250,clean,8 cylinders,black,good
sedan,2008,automatic,141000," nissan altima 2.5 s
",,gas,fwd,1000,clean,4 cylinders,grey,fair
convertible,2011,automatic,126000," volvo c70 t5 convertible
",,gas,fwd,5200,clean,4 cylinders,black,excellent
SUV,2014,automatic,118305," Jeep Cherokee Trailhawk
",1C4PJMBSXEW152454,gas,4wd,12500,clean,6 cylinders,white,good
sedan,2013,automatic,150000," madza 3
",,gas,,4500,clean,4 cylinders,,like new
